TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-08-17-59-52-807000,"[0.28721070289611816, 1.4007714986801147, -0.006254434585571289]","[-5.108803749084473, -23.92238426208496, -0.5906115770339966]","[0.028487682342529297, 1.3244450092315674, 0.26616930961608887]","[16.234146118164062, -6.17172908782959, 21.41872787475586]","[-0.3961203098297119, 1.1911243200302124, 0.33166956901550293]","[-24.79792022705078, -11.037972450256348, 13.135968208312988]"
2019-11-08-17-59-53-308000,"[0.28916263580322266, 1.4014896154403687, -0.0058519840240478516]","[-4.645703315734863, -23.690980911254883, -0.5284327864646912]","[0.010161638259887695, 1.2968826293945312, 0.2809627056121826]","[21.335289001464844, -10.06004810333252, 19.304203033447266]","[-0.4108312129974365, 1.1927497386932373, 0.33199334144592285]","[-26.677202224731445, -11.86154842376709, 13.47508430480957]"
2019-11-08-17-59-53-808000,"[0.28995537757873535, 1.4006497859954834, -0.0018448829650878906]","[-4.547257423400879, -23.79758071899414, -0.8759527206420898]","[-0.016923189163208008, 1.3114601373672485, 0.2926816940307617]","[23.14670753479004, -11.212545394897461, 18.644201278686523]","[-0.4139368534088135, 1.1957345008850098, 0.33376216888427734]","[-26.57973289489746, -12.572981834411621, 14.04043197631836]"
2019-11-08-17-59-54-309000,"[0.28978753089904785, 1.4002283811569214, 0.0031769275665283203]","[-5.105893135070801, -23.997461318969727, -0.928097128868103]","[0.003407716751098633, 1.3027276992797852, 0.28043508529663086]","[32.205047607421875, -14.446422576904297, 17.044124603271484]","[-0.413440465927124, 1.1973903179168701, 0.33731579780578613]","[-27.054548263549805, -12.707731246948242, 14.045337677001953]"
2019-11-08-17-59-54-810000,"[0.28969311714172363, 1.4018151760101318, 0.0020716190338134766]","[-4.864396572113037, -24.625755310058594, -1.7560172080993652]","[0.015719890594482422, 1.2627308368682861, 0.2681236267089844]","[38.225181579589844, -14.061582565307617, 15.279511451721191]","[-0.4095020294189453, 1.1942520141601562, 0.33432459831237793]","[-25.966413497924805, -12.456241607666016, 12.424633026123047]"
2019-11-08-17-59-55-310000,"[0.29180312156677246, 1.4003586769104004, -0.009093761444091797]","[-5.698403358459473, -24.20244026184082, -1.337156057357788]","[0.029736042022705078, 1.24824857711792, 0.26154112815856934]","[39.28856658935547, -15.164791107177734, 13.246180534362793]","[-0.4122176170349121, 1.1948883533477783, 0.33328938484191895]","[-27.21184730529785, -12.9873046875, 12.166789054870605]"
2019-11-08-17-59-55-811000,"[0.2921016216278076, 1.4011716842651367, -0.012344121932983398]","[-5.0418853759765625, -26.00048065185547, -2.484992742538452]","[0.03417801856994629, 1.2466871738433838, 0.2560415267944336]","[38.84259796142578, -15.851616859436035, 12.762716293334961]","[-0.4149055480957031, 1.1947895288467407, 0.3335132598876953]","[-27.163272857666016, -12.844186782836914, 11.935943603515625]"
2019-11-08-17-59-56-312000,"[0.29366064071655273, 1.4014875888824463, -0.012150287628173828]","[-4.732520580291748, -27.4829158782959, -2.194161891937256]","[0.03833365440368652, 1.2433562278747559, 0.25368618965148926]","[39.27450942993164, -15.771568298339844, 13.287217140197754]","[-0.4109923839569092, 1.1946592330932617, 0.33404088020324707]","[-26.787805557250977, -12.870104789733887, 11.930039405822754]"
2019-11-08-17-59-56-813000,"[0.29759979248046875, 1.4003558158874512, -0.008399486541748047]","[-5.723808765411377, -27.58730125427246, 2.562845230102539]","[0.030785799026489258, 1.251107931137085, 0.25670623779296875]","[38.42149353027344, -16.72025489807129, 13.058134078979492]","[-0.4099845886230469, 1.1942389011383057, 0.3302466869354248]","[-27.10009765625, -13.116981506347656, 11.89011001586914]"
2019-11-08-17-59-57-313000,"[0.2952592372894287, 1.4018981456756592, -0.010392427444458008]","[-6.569575786590576, -27.344745635986328, 0.8446887731552124]","[0.02775859832763672, 1.2533884048461914, 0.2562370300292969]","[38.69178771972656, -16.65359878540039, 11.620597839355469]","[-0.4082193374633789, 1.1962330341339111, 0.3232433795928955]","[-26.89240074157715, -13.412883758544922, 12.264460563659668]"
2019-11-08-17-59-57-814000,"[0.28784728050231934, 1.4032599925994873, -0.010537862777709961]","[-7.115619659423828, -26.890174865722656, -0.1851874589920044]","[0.02513408660888672, 1.2594592571258545, 0.2628977298736572]","[39.33780288696289, -15.824268341064453, 8.584220886230469]","[-0.4075901508331299, 1.1973202228546143, 0.32088446617126465]","[-27.504470825195312, -13.281270980834961, 12.730255126953125]"
2019-11-08-17-59-58-314000,"[0.2885727882385254, 1.4030053615570068, -0.006521701812744141]","[-6.525301933288574, -27.043548583984375, -0.6289335489273071]","[-0.03347921371459961, 1.2629774808883667, 0.2924787998199463]","[22.27268409729004, -13.868690490722656, 15.993422508239746]","[-0.4091458320617676, 1.1976134777069092, 0.3181276321411133]","[-27.445560455322266, -13.752192497253418, 12.530293464660645]"
2019-11-08-17-59-58-816000,"[0.28495216369628906, 1.402921199798584, -0.00017786026000976562]","[-7.522053241729736, -27.162870407104492, -1.6380741596221924]","[0.0018811225891113281, 1.2958109378814697, 0.29901885986328125]","[27.239866256713867, -9.832263946533203, -16.059959411621094]","[-0.40782737731933594, 1.19691801071167, 0.3055593967437744]","[-26.4115047454834, -13.710894584655762, 11.61828327178955]"
2019-11-08-17-59-59-317000,"[0.28306031227111816, 1.4039945602416992, 0.0045702457427978516]","[-6.998310565948486, -27.935150146484375, -0.5181662440299988]","[0.020242691040039062, 1.3267848491668701, 0.28264880180358887]","[26.58939552307129, -12.776045799255371, -5.818857192993164]","[-0.410764217376709, 1.1995699405670166, 0.30027174949645996]","[-28.1844425201416, -14.057428359985352, 13.309621810913086]"
2019-11-08-17-59-59-817000,"[0.28420066833496094, 1.4015064239501953, 0.0043697357177734375]","[-6.9836649894714355, -27.76293182373047, 1.1066302061080933]","[0.0422213077545166, 1.3061270713806152, 0.27126169204711914]","[32.24825668334961, -12.258453369140625, 0.5416193604469299]","[-0.41501545906066895, 1.1986339092254639, 0.3029961585998535]","[-27.751710891723633, -14.187180519104004, 12.629899024963379]"
2019-11-08-18-00-00-318000,"[0.2785813808441162, 1.4012451171875, 0.0037078857421875]","[-7.398312091827393, -27.100418090820312, 0.1504601091146469]","[0.048825740814208984, 1.2907254695892334, 0.27305126190185547]","[37.43153762817383, -11.427927017211914, -0.026538165286183357]","[-0.4160623550415039, 1.1978449821472168, 0.3078877925872803]","[-27.862276077270508, -13.713696479797363, 12.874094009399414]"
2019-11-08-18-00-00-818000,"[0.28008222579956055, 1.4019091129302979, 0.0004749298095703125]","[-7.52315616607666, -26.901357650756836, 0.08643049001693726]","[0.04352164268493652, 1.2864431142807007, 0.2679767608642578]","[38.572566986083984, -15.950535774230957, 5.342971324920654]","[-0.4176321029663086, 1.2008321285247803, 0.3124711513519287]","[-27.538976669311523, -14.41375732421875, 12.902541160583496]"
2019-11-08-18-00-01-319000,"[0.28086280822753906, 1.400559663772583, 0.004788875579833984]","[-7.604236125946045, -26.54116439819336, -0.5540486574172974]","[0.0650935173034668, 1.3095755577087402, 0.26806068420410156]","[41.03693389892578, -12.8461275100708, -12.909836769104004]","[-0.4126741886138916, 1.2001404762268066, 0.309675931930542]","[-27.205602645874023, -14.748760223388672, 12.768058776855469]"
2019-11-08-18-00-01-821000,"[0.28087520599365234, 1.4008395671844482, 0.010569334030151367]","[-6.880216598510742, -26.46762466430664, -0.8331940770149231]","[0.054583072662353516, 1.3075063228607178, 0.28315019607543945]","[42.62999725341797, -15.000611305236816, -6.269977569580078]","[-0.4204709529876709, 1.2006359100341797, 0.3141658306121826]","[-28.15508460998535, -14.484284400939941, 13.486496925354004]"
2019-11-08-18-00-02-322000,"[0.2805521488189697, 1.3986687660217285, 0.003876209259033203]","[-6.038576602935791, -26.862520217895508, -0.7095481157302856]","[0.03935575485229492, 1.2842895984649658, 0.29581499099731445]","[37.07231521606445, -13.337316513061523, -5.763729572296143]","[-0.42026233673095703, 1.2017933130264282, 0.3182487487792969]","[-27.505813598632812, -14.572646141052246, 13.3322114944458]"
2019-11-08-18-00-02-823000,"[0.2815570831298828, 1.408487319946289, -0.013603687286376953]","[-5.690560340881348, -28.698633193969727, -0.7525111436843872]","[0.009101390838623047, 1.261934757232666, 0.30391931533813477]","[25.824352264404297, -13.871472358703613, -5.892155170440674]","[-0.41790223121643066, 1.19854736328125, 0.31836843490600586]","[-27.73137855529785, -13.96025276184082, 12.710179328918457]"
2019-11-08-18-00-03-323000,"[0.278118371963501, 1.4098317623138428, -0.012103080749511719]","[-5.957274436950684, -28.532257080078125, -1.1659237146377563]","[-0.014410257339477539, 1.266441822052002, 0.315687894821167]","[18.109304428100586, -15.589282989501953, -2.3713130950927734]","[-0.4207582473754883, 1.1972427368164062, 0.324662446975708]","[-28.46062660217285, -13.75324535369873, 12.793017387390137]"
2019-11-08-18-00-03-825000,"[0.2780163288116455, 1.4070031642913818, -0.010970115661621094]","[-6.745698928833008, -28.201108932495117, -1.1812903881072998]","[-0.008141040802001953, 1.2532265186309814, 0.3501403331756592]","[18.96098518371582, -15.092595100402832, -14.195412635803223]","[-0.42797374725341797, 1.1940414905548096, 0.3349757194519043]","[-32.327919006347656, -13.689956665039062, 11.85733699798584]"
2019-11-08-18-00-04-326000,"[0.28173136711120605, 1.4047870635986328, -0.008906126022338867]","[-6.642697811126709, -27.455272674560547, -1.6125129461288452]","[0.01593470573425293, 1.2255878448486328, 0.5008857250213623]","[14.8942232131958, 0.5872073173522949, -73.57006072998047]","[-0.37038660049438477, 1.2012724876403809, 0.38822054862976074]","[-41.18535614013672, -12.919509887695312, 9.478272438049316]"
