TIMESTAMP,HEAD_POS_GLB,HEAD_EULER_GLB,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-11-14-57-04-991000,"[-0.11268115043640137, 1.0775976181030273, -0.0012967586517333984]","[-6.19561243057251, 2.855393886566162, 1.8230478763580322]","[-0.17192769050598145, 0.6444101333618164, 0.4122607707977295]","[0.5329889059066772, -31.363191604614258, 14.4757661819458]","[-0.044322967529296875, 0.6221097707748413, 0.39596009254455566]","[11.088349342346191, -31.45053482055664, -13.561508178710938]"
2019-11-11-14-57-05-361000,"[-0.10677599906921387, 1.0776127576828003, -0.0005509853363037109]","[-3.1359169483184814, 2.7759039402008057, 2.2586171627044678]","[-0.17173385620117188, 0.6441105604171753, 0.4118492603302002]","[0.4741845726966858, -31.450403213500977, 14.549755096435547]","[-0.044171810150146484, 0.6219977140426636, 0.3958256244659424]","[11.051250457763672, -31.353296279907227, -13.497946739196777]"
2019-11-11-14-57-05-492000,"[-0.10103631019592285, 1.0788863897323608, -0.0004017353057861328]","[0.283844918012619, 2.157602310180664, 2.8569347858428955]","[-0.17177057266235352, 0.6439425945281982, 0.41219234466552734]","[0.5047031044960022, -31.47745704650879, 14.547612190246582]","[-0.04413032531738281, 0.6218920946121216, 0.3959777355194092]","[11.038544654846191, -31.350223541259766, -13.460171699523926]"
2019-11-11-14-57-05-993000,"[-0.08692288398742676, 1.0875002145767212, -0.0017616748809814453]","[8.292740821838379, -2.3433828353881836, 2.868642568588257]","[-0.17156338691711426, 0.6442941427230835, 0.41208434104919434]","[0.32976022362709045, -31.510826110839844, 14.26319694519043]","[-0.04414844512939453, 0.6222928762435913, 0.39566493034362793]","[11.028522491455078, -31.285381317138672, -13.480506896972656]"
2019-11-11-14-57-06-495000,"[-0.09928464889526367, 1.088692307472229, -0.001638650894165039]","[2.1754462718963623, -2.8851213455200195, 2.2329952716827393]","[-0.17157411575317383, 0.6437172889709473, 0.4123055934906006]","[0.22215795516967773, -31.471750259399414, 14.365983009338379]","[-0.044423818588256836, 0.6219096183776855, 0.3961067199707031]","[10.877819061279297, -31.216123580932617, -13.2354097366333]"
2019-11-11-14-57-06-995000,"[-0.10094213485717773, 1.089744210243225, -0.00200653076171875]","[1.557155728340149, -3.6120615005493164, 2.256741762161255]","[-0.17070364952087402, 0.6437468528747559, 0.4116380214691162]","[-0.02447381243109703, -31.633668899536133, 14.041592597961426]","[-0.044138193130493164, 0.6217890977859497, 0.39573216438293457]","[11.064916610717773, -31.28955841064453, -13.423100471496582]"
2019-11-11-14-57-07-496000,"[-0.10512876510620117, 1.0905133485794067, -0.0023844242095947266]","[-0.16228845715522766, -4.105432033538818, 2.3710124492645264]","[-0.1706383228302002, 0.643839955329895, 0.4118351936340332]","[0.22645604610443115, -31.42965316772461, 14.195958137512207]","[-0.043900489807128906, 0.6218166351318359, 0.3956887722015381]","[11.0618257522583, -31.41605567932129, -13.279403686523438]"
2019-11-11-14-57-07-996000,"[-0.10340499877929688, 1.091192603111267, -0.004424095153808594]","[-0.10566914826631546, -4.370240211486816, 2.218740463256836]","[-0.17088007926940918, 0.6436425447463989, 0.4113588333129883]","[0.2024679332971573, -31.604150772094727, 14.389922142028809]","[-0.04400277137756348, 0.6221065521240234, 0.39536523818969727]","[10.998830795288086, -31.26751708984375, -13.394862174987793]"
2019-11-11-14-57-08-497000,"[-0.10314512252807617, 1.0905406475067139, -0.0022573471069335938]","[-0.08998635411262512, -4.081300735473633, 2.1654019355773926]","[-0.170820951461792, 0.6436573266983032, 0.4120213985443115]","[0.21503444015979767, -31.554269790649414, 14.317049980163574]","[-0.043709516525268555, 0.6220113039016724, 0.3958723545074463]","[11.03546142578125, -31.182979583740234, -13.5234375]"
2019-11-11-14-57-08-998000,"[-0.1027841567993164, 1.0900322198867798, -0.001560211181640625]","[0.10711145401000977, -3.937171220779419, 2.2123091220855713]","[-0.1706256866455078, 0.6435160636901855, 0.4118788242340088]","[0.13219435513019562, -31.443069458007812, 14.21346378326416]","[-0.04389619827270508, 0.6219512224197388, 0.3956136703491211]","[11.009183883666992, -31.205381393432617, -13.430025100708008]"
2019-11-11-14-57-09-498000,"[-0.10271406173706055, 1.0906177759170532, -0.0019249916076660156]","[0.159713476896286, -4.187798023223877, 2.220585346221924]","[-0.17020130157470703, 0.6435521841049194, 0.4117612838745117]","[0.12141653150320053, -31.415191650390625, 14.223519325256348]","[-0.04334235191345215, 0.62190842628479, 0.3954782485961914]","[11.081478118896484, -31.23303985595703, -13.548971176147461]"
2019-11-11-14-57-09-999000,"[-0.10256361961364746, 1.0907258987426758, -0.002527475357055664]","[0.2668028175830841, -4.3393988609313965, 2.1990268230438232]","[-0.17066478729248047, 0.6436145305633545, 0.4112684726715088]","[0.4058075249195099, -31.201488494873047, 14.476448059082031]","[-0.04359889030456543, 0.621788501739502, 0.3953371047973633]","[11.095024108886719, -31.236125946044922, -13.550103187561035]"
2019-11-11-14-57-10-500000,"[-0.10139632225036621, 1.0911670923233032, -0.0033512115478515625]","[0.39328211545944214, -4.446050643920898, 2.108602285385132]","[-0.16993117332458496, 0.6442204713821411, 0.4115455150604248]","[0.40129268169403076, -31.119142532348633, 14.194828033447266]","[-0.04323005676269531, 0.6221976280212402, 0.39548683166503906]","[11.03094482421875, -31.11734962463379, -13.579699516296387]"
2019-11-11-14-57-11-000000,"[-0.10066390037536621, 1.0901978015899658, -0.0025606155395507812]","[0.4826897382736206, -4.143302917480469, 1.9375715255737305]","[-0.17058563232421875, 0.6438326835632324, 0.4115424156188965]","[0.48185673356056213, -31.008543014526367, 14.111434936523438]","[-0.043749094009399414, 0.6217889785766602, 0.3953852653503418]","[11.06540298461914, -31.038999557495117, -13.636752128601074]"
2019-11-11-14-57-11-501000,"[-0.10009980201721191, 1.0901939868927002, -0.0021963119506835938]","[0.6217688322067261, -4.0876688957214355, 1.8639978170394897]","[-0.17095732688903809, 0.6436097621917725, 0.4116513729095459]","[0.5718204975128174, -30.826519012451172, 14.601640701293945]","[-0.04338550567626953, 0.6218698024749756, 0.3956630229949951]","[11.009331703186035, -31.03400993347168, -13.632816314697266]"
2019-11-11-14-57-12-001000,"[-0.10069990158081055, 1.090567708015442, -0.003426074981689453]","[0.5740904808044434, -4.277714252471924, 1.8989853858947754]","[-0.16950297355651855, 0.6435743570327759, 0.4115419387817383]","[0.3517996072769165, -30.847843170166016, 14.037127494812012]","[-0.043259620666503906, 0.6213552951812744, 0.3952450752258301]","[11.063764572143555, -31.227174758911133, -13.551380157470703]"
2019-11-11-14-57-12-502000,"[-0.10102224349975586, 1.0903420448303223, -0.0029754638671875]","[0.494881808757782, -4.252458095550537, 2.07420015335083]","[-0.1699202060699463, 0.6439739465713501, 0.4116973876953125]","[0.33098703622817993, -30.977622985839844, 14.187594413757324]","[-0.043152809143066406, 0.6217725276947021, 0.3954181671142578]","[11.138912200927734, -31.30922508239746, -13.628512382507324]"
2019-11-11-14-57-13-002000,"[-0.09857940673828125, 1.08982515335083, -0.003050565719604492]","[0.7908536791801453, -4.0685553550720215, 1.77010977268219]","[-0.16966843605041504, 0.6446386575698853, 0.4108719825744629]","[0.4435805082321167, -30.99112319946289, 14.116438865661621]","[-0.04267168045043945, 0.6221802234649658, 0.394683837890625]","[11.305142402648926, -31.26480484008789, -14.021276473999023]"
2019-11-11-14-57-13-503000,"[-0.09670639038085938, 1.0895569324493408, -0.003160715103149414]","[1.1001518964767456, -3.935309648513794, 1.5672917366027832]","[-0.1707301139831543, 0.6436353921890259, 0.4111490249633789]","[0.39025720953941345, -30.818857192993164, 15.350441932678223]","[-0.042634010314941406, 0.6216355562210083, 0.39537858963012695]","[11.157197952270508, -31.070650100708008, -13.963613510131836]"
2019-11-11-14-57-14-004000,"[-0.09724068641662598, 1.0893994569778442, -0.0034356117248535156]","[0.9909951686859131, -3.875957489013672, 1.736428141593933]","[-0.1698617935180664, 0.6438256502151489, 0.4106132984161377]","[0.39222463965415955, -30.978778839111328, 14.572307586669922]","[-0.04262495040893555, 0.6217350959777832, 0.3946070671081543]","[11.181487083435059, -31.184858322143555, -13.880290031433105]"
2019-11-11-14-57-14-505000,"[-0.09908199310302734, 1.0892215967178345, -0.0024008750915527344]","[0.710169792175293, -3.855996608734131, 1.828593134880066]","[-0.1714174747467041, 0.6445276737213135, 0.4115128517150879]","[0.4080878496170044, -31.09695053100586, 15.032448768615723]","[-0.043931007385253906, 0.622803807258606, 0.39536046981811523]","[11.168829917907715, -31.50090980529785, -13.672069549560547]"
2019-11-11-14-57-15-006000,"[-0.09935355186462402, 1.0897473096847534, -0.003492116928100586]","[0.6097620725631714, -3.985239028930664, 1.918898105621338]","[-0.1704714298248291, 0.6447153091430664, 0.4105212688446045]","[0.3842659890651703, -31.202465057373047, 15.024538040161133]","[-0.043169260025024414, 0.6231534481048584, 0.3947741985321045]","[11.126686096191406, -31.586427688598633, -13.75586986541748]"
2019-11-11-14-57-15-506000,"[-0.09726858139038086, 1.0901881456375122, -0.003147125244140625]","[1.0816153287887573, -4.097024440765381, 1.7426129579544067]","[-0.1698744297027588, 0.6435849666595459, 0.41150450706481934]","[0.6830734014511108, -30.783206939697266, 14.859003067016602]","[-0.04225754737854004, 0.6219954490661621, 0.3955199718475342]","[11.221426963806152, -31.059396743774414, -14.07767105102539]"
2019-11-11-14-57-16-007000,"[-0.09683656692504883, 1.089458703994751, -0.0034291744232177734]","[1.2577881813049316, -3.9544878005981445, 1.740175724029541]","[-0.17109370231628418, 0.6440824270248413, 0.4108150005340576]","[0.8604283928871155, -31.095508575439453, 15.06095027923584]","[-0.04259300231933594, 0.6221270561218262, 0.39560842514038086]","[11.46148681640625, -30.864421844482422, -14.739910125732422]"
2019-11-11-14-57-16-507000,"[-0.09767913818359375, 1.0891883373260498, -0.003264188766479492]","[1.1317058801651, -3.809000015258789, 1.7365517616271973]","[-0.17094182968139648, 0.644361138343811, 0.41116929054260254]","[0.4917486608028412, -30.94139862060547, 14.612283706665039]","[-0.04372978210449219, 0.622473955154419, 0.39550113677978516]","[11.403056144714355, -31.06744956970215, -14.384087562561035]"
2019-11-11-14-57-17-008000,"[-0.09783601760864258, 1.0893915891647339, -0.003734111785888672]","[1.0826070308685303, -3.955646514892578, 1.8222949504852295]","[-0.17058658599853516, 0.6439634561538696, 0.41106700897216797]","[0.4796385169029236, -31.174659729003906, 14.922974586486816]","[-0.04310107231140137, 0.6226222515106201, 0.39550137519836426]","[11.40422534942627, -31.373807907104492, -14.28686809539795]"
2019-11-11-14-57-17-509000,"[-0.0978085994720459, 1.0897421836853027, -0.0033102035522460938]","[1.1761527061462402, -3.9266552925109863, 1.7778139114379883]","[-0.17005538940429688, 0.6435415744781494, 0.4116220474243164]","[0.5495805144309998, -30.934612274169922, 14.50357723236084]","[-0.04262685775756836, 0.6219587326049805, 0.39589595794677734]","[11.3714599609375, -30.909494400024414, -14.330489158630371]"
2019-11-11-14-57-18-009000,"[-0.09509515762329102, 1.0901052951812744, -0.004213809967041016]","[1.5943485498428345, -4.1128973960876465, 1.5410891771316528]","[-0.17036151885986328, 0.6432923078536987, 0.4110603332519531]","[0.5527192950248718, -30.98244285583496, 14.82352066040039]","[-0.04253435134887695, 0.6218389272689819, 0.39579248428344727]","[11.274105072021484, -30.76906967163086, -14.469789505004883]"
2019-11-11-14-57-18-510000,"[-0.09546852111816406, 1.0900496244430542, -0.0043010711669921875]","[1.5355252027511597, -4.062957763671875, 1.544127106666565]","[-0.17018723487854004, 0.6437901258468628, 0.4113142490386963]","[0.4731862545013428, -30.8073787689209, 14.722803115844727]","[-0.042444705963134766, 0.6223106384277344, 0.3956413269042969]","[11.307937622070312, -30.79834747314453, -14.52122974395752]"
2019-11-11-14-57-19-010000,"[-0.09662365913391113, 1.0896300077438354, -0.004279136657714844]","[1.200197696685791, -3.997520923614502, 1.6518797874450684]","[-0.1696147918701172, 0.6433037519454956, 0.41085124015808105]","[0.2261618822813034, -31.20406150817871, 14.574567794799805]","[-0.04260110855102539, 0.6221411228179932, 0.39563941955566406]","[11.377829551696777, -31.01274871826172, -14.487357139587402]"
2019-11-11-14-57-19-511000,"[-0.09731340408325195, 1.089638352394104, -0.0036535263061523438]","[1.0722025632858276, -3.9280850887298584, 1.7963941097259521]","[-0.1699066162109375, 0.6428682804107666, 0.4109022617340088]","[0.3126455247402191, -31.07311248779297, 14.60595417022705]","[-0.04328584671020508, 0.6219406127929688, 0.3955078125]","[11.38110637664795, -31.009212493896484, -14.24312686920166]"
2019-11-11-14-57-19-879000,"[-0.09681248664855957, 1.0888574123382568, -0.0039560794830322266]","[1.0523439645767212, -3.869875907897949, 1.6970078945159912]","[-0.16935014724731445, 0.6428048610687256, 0.4108138084411621]","[0.44629576802253723, -31.069103240966797, 14.37409782409668]","[-0.04273653030395508, 0.6215040683746338, 0.39576196670532227]","[11.323406219482422, -31.000259399414062, -14.418646812438965]"
2019-11-11-14-57-20-011000,"[-0.09612488746643066, 1.0892231464385986, -0.004338741302490234]","[1.2119140625, -3.94759464263916, 1.7912310361862183]","[-0.16942787170410156, 0.643690824508667, 0.41049861907958984]","[0.4807104170322418, -31.15898323059082, 14.345376968383789]","[-0.04264974594116211, 0.6223398447036743, 0.39544105529785156]","[11.360333442687988, -31.110958099365234, -14.551669120788574]"
2019-11-11-14-57-20-511000,"[-0.09441852569580078, 1.0891659259796143, -0.004841804504394531]","[1.32132887840271, -3.892186164855957, 1.5452123880386353]","[-0.1695413589477539, 0.6429904699325562, 0.4108467102050781]","[0.5107619166374207, -31.071706771850586, 14.470158576965332]","[-0.042810916900634766, 0.6219445466995239, 0.3958601951599121]","[11.288474082946777, -30.93603515625, -14.480890274047852]"
2019-11-11-14-57-21-012000,"[-0.09449625015258789, 1.0891317129135132, -0.004950046539306641]","[1.5381814241409302, -3.860827922821045, 1.5762964487075806]","[-0.16945457458496094, 0.6434371471405029, 0.410888671875]","[0.4751525819301605, -30.924592971801758, 14.572047233581543]","[-0.04241466522216797, 0.6222798824310303, 0.3956727981567383]","[11.409398078918457, -30.89495277404785, -14.731797218322754]"
2019-11-11-14-57-21-512000,"[-0.0950462818145752, 1.0891549587249756, -0.00388336181640625]","[1.7058436870574951, -3.7763099670410156, 1.6318436861038208]","[-0.16934418678283691, 0.6431760787963867, 0.41065311431884766]","[0.36566823720932007, -31.145694732666016, 14.561667442321777]","[-0.042897939682006836, 0.6221897602081299, 0.395871639251709]","[11.380598068237305, -31.018436431884766, -14.507193565368652]"
2019-11-11-14-57-22-013000,"[-0.09652090072631836, 1.0887982845306396, -0.003448963165283203]","[1.3104435205459595, -3.8664376735687256, 1.9293726682662964]","[-0.16914796829223633, 0.6421123743057251, 0.4106278419494629]","[-0.0631551519036293, -31.58542251586914, 14.659071922302246]","[-0.043129920959472656, 0.6216068267822266, 0.39618492126464844]","[11.316497802734375, -31.04624366760254, -14.337450981140137]"
2019-11-11-14-57-22-514000,"[-0.09621262550354004, 1.0879045724868774, -0.0034182071685791016]","[1.1192116737365723, -3.361741065979004, 1.7508283853530884]","[-0.16859173774719238, 0.642863392829895, 0.40970420837402344]","[-0.34971243143081665, -32.420101165771484, 14.420805931091309]","[-0.042977094650268555, 0.6221413612365723, 0.3957250118255615]","[11.447301864624023, -31.059064865112305, -14.593236923217773]"
2019-11-11-14-57-23-014000,"[-0.09550046920776367, 1.08686101436615, -0.0028579235076904297]","[1.1697763204574585, -2.8831088542938232, 1.6663994789123535]","[-0.16897225379943848, 0.6408153772354126, 0.41008734703063965]","[-0.40297091007232666, -32.3196907043457, 14.657181739807129]","[-0.04361701011657715, 0.6212064027786255, 0.39627861976623535]","[11.01632308959961, -30.917016983032227, -13.835539817810059]"
2019-11-11-14-57-23-515000,"[-0.09670662879943848, 1.0871059894561768, -0.002693653106689453]","[1.1267719268798828, -2.959771156311035, 1.9607595205307007]","[-0.1684424877166748, 0.6416952610015869, 0.40992069244384766]","[-0.27964988350868225, -32.3222770690918, 14.474453926086426]","[-0.04320359230041504, 0.6218161582946777, 0.39592671394348145]","[11.119616508483887, -30.99816131591797, -13.952280044555664]"
2019-11-11-14-57-24-016000,"[-0.09936165809631348, 1.0854134559631348, -0.0016617774963378906]","[0.18023887276649475, -2.288856029510498, 2.5732429027557373]","[-0.16965532302856445, 0.6435240507125854, 0.409423828125]","[0.25637808442115784, -32.180885314941406, 15.024307250976562]","[-0.025845050811767578, 0.6281893253326416, 0.39458537101745605]","[14.550116539001465, -26.551477432250977, -15.42758560180664]"
2019-11-11-14-57-24-517000,"[-0.09717416763305664, 1.0717847347259521, -0.00431060791015625]","[0.36980026960372925, 5.9557671546936035, 2.1776270866394043]","[-0.18468952178955078, 0.6455152034759521, 0.41486406326293945]","[-6.3946757316589355, -32.478858947753906, -1.3208470344543457]","[-0.03240323066711426, 0.6468818187713623, 0.38304972648620605]","[12.445596694946289, -33.373497009277344, -11.305624008178711]"
2019-11-11-14-57-25-017000,"[-0.09564518928527832, 1.0811023712158203, -0.007511615753173828]","[2.193505048751831, 0.8432853817939758, 2.8199052810668945]","[-0.1823585033416748, 0.6457850933074951, 0.4145779609680176]","[-4.762363433837891, -32.65769958496094, -0.3429885506629944]","[-0.03444671630859375, 0.6256924867630005, 0.39600396156311035]","[10.975213050842285, -26.311046600341797, -11.068415641784668]"
2019-11-11-14-57-25-518000,"[-0.09097814559936523, 1.107374906539917, -0.011100053787231445]","[4.904236793518066, -14.226560592651367, 1.6062361001968384]","[-0.17105460166931152, 0.643142819404602, 0.4126851558685303]","[-0.7217722535133362, -33.2937126159668, -1.1449309587478638]","[-0.03587913513183594, 0.6249246597290039, 0.39569759368896484]","[11.080202102661133, -27.727445602416992, -10.796738624572754]"
2019-11-11-14-57-26-018000,"[-0.09406137466430664, 1.0892868041992188, -0.011363029479980469]","[3.628966808319092, -6.02785062789917, 1.232452154159546]","[-0.1712179183959961, 0.6420836448669434, 0.41351318359375]","[-0.7901188135147095, -33.14303207397461, -0.6685122847557068]","[-0.03687000274658203, 0.6239398717880249, 0.39656925201416016]","[11.03072452545166, -28.062519073486328, -10.371914863586426]"
2019-11-11-14-57-26-520000,"[-0.09418487548828125, 1.090234637260437, -0.012208700180053711]","[3.317267417907715, -6.756617546081543, 1.6635334491729736]","[-0.16831612586975098, 0.6422944068908691, 0.4137156009674072]","[-0.30609506368637085, -33.56275177001953, -3.3983678817749023]","[-0.03602743148803711, 0.6237514019012451, 0.3962435722351074]","[11.092443466186523, -28.176555633544922, -10.493915557861328]"
2019-11-11-14-57-27-021000,"[-0.09113121032714844, 1.0908021926879883, -0.012189865112304688]","[3.5941104888916016, -6.973532199859619, 1.7616194486618042]","[-0.17166447639465332, 0.6437914371490479, 0.4141845703125]","[-0.6413636207580566, -33.49587631225586, -1.1679073572158813]","[-0.03626680374145508, 0.6243207454681396, 0.39697837829589844]","[11.099241256713867, -28.174884796142578, -10.882023811340332]"
